CONTROLES,GFAP (?),Ki67 (?),DCX (?),CB (?),,ECI,GFAP (?),Ki67 (?),DCX (?),CB (?)
1,0.0001443,0.00007312,0.00041615,4452802,,1,0.000403639,  0.0000396,0.00028845,4191002.5
2,0.0002991,0.00024777,0.00033835,2391677.75,,2,0.00034807,4.50E-05,0.000178043,2131590
3,0.0004652,0.00013613,0.000352744,9564331.25,,3,0.000298,0.0000765 ,0.000303 ,6859850 
4,0.000216,0.000443,0.000357,16256059,,4,0.00013,5.80E-04,0.0004305,10471777
PROMEDIO,0.00028115,0.000225005,0.000366061,8166217.5,,5,0.00024438,6.17568E-05,0.0003316,    1686300.25
,,,,,,PROMEDIO,0.000284818,0.000228919,0.000307148,5598123.167
,,,,,,,,,,
,,,,,,,,,,
PROMEDIOS DE PROMEDIOS.,,,,,,,,,,
CONDICIÓN,GFAP (?),Ki67 (?),DCX (?),CB (?),,,,,,
CONTROL,0.00028115,0.000225005,0.000366061,8166217.5,,,,,,
ECI,0.000284818,0.000228919,0.000307148,5598123.167,,,,,,
